"Rank","Root Domain","Linking Root Domains","Domain Authority"
"180","newsweek.com","243,815","93"
"181","ovh.net","678,503","93"
"182","urbandictionary.com","204,742","93"
"183","economist.com","302,246","93"
"184","nginx.org","559,483","93"
"185","vox.com","377,607","93"
"186","berkeley.edu","388,254","93"
"187","netvibes.com","1,154,845","93"
"188","forms.gle","357,110","93"
"189","ox.ac.uk","218,520","93"
"190","walmart.com","266,988","93"
"191","scoop.it","335,408","93"
"192","guardian.co.uk","517,652","93"
"193","enable-javascript.com","1,249,992","93"
"194","gmail.com","180,310","93"
"195","ria.ru","153,890","93"
"196","mysql.com","391,211","93"
"197","lemonde.fr","222,989","93"
"198","bloglovin.com","445,043","93"
"199","shopify.com","1,303,520","93"
"200","instructables.com","273,325","93"
"201","bandcamp.com","509,189","93"
"202","sendspace.com","149,224","93"
"203","gnu.org","555,658","93"
"204","cbsnews.com","424,977","93"
"205","imageshack.us","780,445","93"
"206","mit.edu","565,559","93"
"207","nokia.com","157,054","93"
"208","groups.google.com","298,635","93"
"209","rt.com","229,215","93"
"210","ovh.com","424,941","93"
"211","m.wikipedia.org","227,432","93"
"212","elmundo.es","190,979","93"
"213","t.co","1,691,400","93"
"214","thetimes.co.uk","297,039","93"
"215","umich.edu","287,931","93"
"216","nicovideo.jp","137,612","93"
"217","google.co.id","136,904","93"
"218","news.com.au","256,630","93"
"219","disqus.com","914,658","93"
"220","playstation.com","181,484","93"
"221","loc.gov","367,537","93"
"222","php.net","623,096","93"
"223","ted.com","477,416","93"
"224","list-manage.com","658,777","93"
"225","google.com.tw","126,353","93"
"226","sciencedirect.com","421,489","93"
"227","ovh.co.uk","533,342","93"
"228","yadi.sk","171,509","93"
"229","yelp.com","818,483","93"
"230","finance.yahoo.com","368,552","93"
"231","shop-pro.jp","144,870","93"
"232","search.yahoo.com","422,542","93"
"233","www.weebly.com","338,762","93"
"234","over-blog-kiwi.com","178,536","93"
"235","researchgate.net","321,431","93"
"236","instagram.com","21,089,746","93"
"237","channel4.com","142,240","93"
"238","amazon.fr","218,348","93"
"239","discord.gg","177,796","93"
"240","chicagotribune.com","295,886","93"
"241","goo.ne.jp","296,197","93"
"242","storage.googleapis.com","511,543","93"
"243","netflix.com","243,873","93"
"244","apache.org","876,592","93"
"245","naver.jp","128,620","93"
"246","depositfiles.com","138,897","93"
"247","imageshack.com","434,657","93"
"248","wp.com","914,277","93"
"249","shutterstock.com","250,893","93"
"250","www.wikipedia.org","516,582","93"
"251","000webhost.com","266,916","93"
"252","picasa.google.com","247,440","93"
"253","ipv4.google.com","351,587","93"
"254","abc.es","156,083","93"
"255","ytimg.com","251,842","93"
"256","google.nl","217,641","93"
"257","usnews.com","322,218","93"
"258","mega.nz","151,327","93"
"259","stackoverflow.com","284,676","93"
"260","columbia.edu","273,966","93"
"261","alibaba.com","364,680","93"
"262","yale.edu","274,878","93"
"263","arxiv.org","178,281","93"
"264","engadget.com","396,997","93"
"265","gofundme.com","271,972","93"
"266","oup.com","311,694","93"
"267","cornell.edu","368,015","93"
"268","sfgate.com","316,281","93"
"269","deezer.com","126,366","93"
"270","smh.com.au","260,686","93"
"271","amazon.es","146,829","93"
"272","privacyshield.gov","410,766","93"
"273","theglobeandmail.com","217,801","93"
"274","ietf.org","340,951","93"
"275","rapidshare.com","279,566","93"
"276","hp.com","385,842","93"
"277","secureserver.net","965,447","93"
"278","metro.co.uk","174,146","93"
